,general,specific,class,api_name,corpus,expert
24,internal,matchers,NotNull,org.mockito.internal.matchers.NotNull,internal matchers NotNull,"Input and Output,0.52"
25,internal,matchers,Null,org.mockito.internal.matchers.Null,internal matchers Null,"Parser,0.5"
26,internal,matchers,Same,org.mockito.internal.matchers.Same,internal matchers Same,"Data Structure,0.54"
27,internal,matchers,StartsWith,org.mockito.internal.matchers.StartsWith,internal matchers StartsWith,"Input and Output,0.53"
28,internal,matchers,ReflectionEquals,org.mockito.internal.matchers.apachecommons.ReflectionEquals,internal matchers ReflectionEquals,"Input and Output,0.53"
29,internal,util,Primitives,org.mockito.internal.util.Primitives,internal util Primitives,"Parser,0.5"
30,internal,stubbing,CallsRealMethods,org.mockito.internal.stubbing.answers.CallsRealMethods,internal stubbing CallsRealMethods,"Software Development and IT Operations,0.63"
31,internal,stubbing,GloballyConfiguredAnswer,org.mockito.internal.stubbing.defaultanswers.GloballyConfiguredAnswer,internal stubbing GloballyConfiguredAnswer,"User Interface,0.62"
32,internal,stubbing,ReturnsDeepStubs,org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs,internal stubbing ReturnsDeepStubs,"Error Handling,0.46"
33,internal,stubbing,ReturnsMocks,org.mockito.internal.stubbing.defaultanswers.ReturnsMocks,internal stubbing ReturnsMocks,"Error Handling,0.52"
34,internal,stubbing,ReturnsSmartNulls,org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls,internal stubbing ReturnsSmartNulls,"Error Handling,0.55"
35,internal,stubbing,TriesToReturnSelf,org.mockito.internal.stubbing.defaultanswers.TriesToReturnSelf,internal stubbing TriesToReturnSelf,"Software Development and IT Operations,0.57"
36,memory,memory,MemoryManagerConfig,com.facebook.presto.memory.MemoryManagerConfig,memory memory MemoryManagerConfig,"User Interface,0.57"
37,undefined,undefined,PagesIndexPageSorter,com.facebook.presto.PagesIndexPageSorter,undefined undefined PagesIndexPageSorter,"User Interface,0.51"
38,Mockito,Mockito,Mockito,org.mockito.Mockito.doThrow,Mockito Mockito Mockito,"Test,0.3"
39,SystemSessionProperties,SystemSessionProperties,SystemSessionProperties,com.facebook.presto.SystemSessionProperties.isLegacyMapSubscript,SystemSessionProperties SystemSessionProperties SystemSessionProperties,"Software Development and IT Operations,0.68"
40,SystemSessionProperties,SystemSessionProperties,SystemSessionProperties,com.facebook.presto.SystemSessionProperties.isLegacyRowFieldOrdinalAccessEnabled,SystemSessionProperties SystemSessionProperties SystemSessionProperties,"Software Development and IT Operations,0.68"
41,SystemSessionProperties,SystemSessionProperties,SystemSessionProperties,com.facebook.presto.SystemSessionProperties.isLegacyTimestamp,SystemSessionProperties SystemSessionProperties SystemSessionProperties,"Software Development and IT Operations,0.68"
42,SystemSessionProperties,SystemSessionProperties,SystemSessionProperties,com.facebook.presto.SystemSessionProperties.isLegacyTypeCoercionWarningEnabled,SystemSessionProperties SystemSessionProperties SystemSessionProperties,"Software Development and IT Operations,0.68"
43,SystemSessionProperties,SystemSessionProperties,SystemSessionProperties,com.facebook.presto.SystemSessionProperties.isParseDecimalLiteralsAsDouble,SystemSessionProperties SystemSessionProperties SystemSessionProperties,"Software Development and IT Operations,0.68"
44,array,array,AdaptiveLongBigArray,com.facebook.presto.array.AdaptiveLongBigArray,array array AdaptiveLongBigArray,"Big Data,0.64"
45,block,BlockAssertions,Encoding,com.facebook.presto.block.BlockAssertions.Encoding,block BlockAssertions Encoding,"Data Structure,0.57"
46,block,BlockAssertions,DICTIONARY,com.facebook.presto.block.BlockAssertions.Encoding.DICTIONARY,block BlockAssertions DICTIONARY,"Language,0.52"
47,block,BlockAssertions,RUN_LENGTH,com.facebook.presto.block.BlockAssertions.Encoding.RUN_LENGTH,block BlockAssertions RUN_LENGTH,"Big Data,0.52"
48,block,BlockAssertions,BlockAssertions,com.facebook.presto.block.BlockAssertions.assertBlockEquals,block BlockAssertions BlockAssertions,"Logic,0.5"
49,block,BlockAssertions,BlockAssertions,com.facebook.presto.block.BlockAssertions.createAllNullsBlock,block BlockAssertions BlockAssertions,"Logic,0.5"
50,block,BlockAssertions,BlockAssertions,com.facebook.presto.block.BlockAssertions.createRandomBlockForType,block BlockAssertions BlockAssertions,"Logic,0.5"
51,cost,cost,StatsNormalizer,com.facebook.presto.cost.StatsNormalizer,cost cost StatsNormalizer,"Big Data,0.55"
52,internal,stubbing,AnswerFunctionalInterfaces,org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces.toAnswer,internal stubbing AnswerFunctionalInterfaces,"User Interface,0.69"
53,internal,stubbing,AnswersWithDelay,org.mockito.internal.stubbing.answers.AnswersWithDelay,internal stubbing AnswersWithDelay,"Error Handling,0.6"
54,internal,stubbing,ReturnsArgumentAt,org.mockito.internal.stubbing.answers.ReturnsArgumentAt,internal stubbing ReturnsArgumentAt,"Error Handling,0.58"
55,internal,stubbing,ReturnsElementsOf,org.mockito.internal.stubbing.answers.ReturnsElementsOf,internal stubbing ReturnsElementsOf,"Data Structure,0.63"
56,internal,stubbing,ForwardsInvocations,org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations,internal stubbing ForwardsInvocations,"Error Handling,0.43"
57,internal,verification,VerificationModeFactory,org.mockito.internal.verification.VerificationModeFactory.noMoreInteractions,internal verification VerificationModeFactory,"Data Structure,0.63"
58,internal,invocation,VerifiableInvocationsFinder,org.mockito.internal.invocation.finder.VerifiableInvocationsFinder,internal invocation VerifiableInvocationsFinder,"Error Handling,0.45"
59,internal,listeners,VerificationStartedNotifier,org.mockito.internal.listeners.VerificationStartedNotifier,internal listeners VerificationStartedNotifier,"User Interface,0.6"
60,internal,progress,MockingProgress,org.mockito.internal.progress.MockingProgress,internal progress MockingProgress,"Software Development and IT Operations,0.64"
61,internal,stubbing,DefaultLenientStubber,org.mockito.internal.stubbing.DefaultLenientStubber,internal stubbing DefaultLenientStubber,"Error Handling,0.5"
62,internal,stubbing,InvocationContainerImpl,org.mockito.internal.stubbing.InvocationContainerImpl,internal stubbing InvocationContainerImpl,"Error Handling,0.49"
63,internal,stubbing,OngoingStubbingImpl,org.mockito.internal.stubbing.OngoingStubbingImpl,internal stubbing OngoingStubbingImpl,"Error Handling,0.38"
64,internal,stubbing,StubberImpl,org.mockito.internal.stubbing.StubberImpl,internal stubbing StubberImpl,"Parser,0.38"
65,internal,util,DefaultMockingDetails,org.mockito.internal.util.DefaultMockingDetails,internal util DefaultMockingDetails,"Error Handling,0.62"
66,internal,util,MockUtil,org.mockito.internal.util.MockUtil,internal util MockUtil,"Utility,0.43"
67,internal,verification,MockAwareVerificationMode,org.mockito.internal.verification.MockAwareVerificationMode,internal verification MockAwareVerificationMode,"Software Development and IT Operations,0.63"
68,RowPageBuilder,RowPageBuilder,RowPageBuilder,com.facebook.presto.RowPageBuilder.rowPageBuilder,RowPageBuilder RowPageBuilder RowPageBuilder,"Search,0.48"
69,SessionTestUtils,SessionTestUtils,TEST_SESSION,com.facebook.presto.SessionTestUtils.TEST_SESSION,SessionTestUtils SessionTestUtils TEST_SESSION,"Test,0.82"
70,block,block,BlockAssertions,com.facebook.presto.block.BlockAssertions,block block BlockAssertions,"Data Structure,0.48"
71,cost,ComparisonStatsCalculator,ComparisonStatsCalculator,com.facebook.presto.cost.ComparisonStatsCalculator.estimateExpressionToExpressionComparison,cost ComparisonStatsCalculator ComparisonStatsCalculator,"Big Data,0.57"
72,cost,ComparisonStatsCalculator,ComparisonStatsCalculator,com.facebook.presto.cost.ComparisonStatsCalculator.estimateExpressionToLiteralComparison,cost ComparisonStatsCalculator ComparisonStatsCalculator,"Big Data,0.57"
73,cost,PlanNodeStatsEstimateMath,PlanNodeStatsEstimateMath,com.facebook.presto.cost.PlanNodeStatsEstimateMath.addStatsAndSumDistinctValues,cost PlanNodeStatsEstimateMath PlanNodeStatsEstimateMath,"Data Structure,0.65"
74,cost,PlanNodeStatsEstimateMath,PlanNodeStatsEstimateMath,com.facebook.presto.cost.PlanNodeStatsEstimateMath.capStats,cost PlanNodeStatsEstimateMath PlanNodeStatsEstimateMath,"Data Structure,0.65"
75,cost,PlanNodeStatsEstimateMath,PlanNodeStatsEstimateMath,com.facebook.presto.cost.PlanNodeStatsEstimateMath.subtractSubsetStats,cost PlanNodeStatsEstimateMath PlanNodeStatsEstimateMath,"Data Structure,0.65"
76,cost,StatsUtil,StatsUtil,com.facebook.presto.cost.StatsUtil.toStatsRepresentation,cost StatsUtil StatsUtil,"Big Data,0.49"
77,execution,execution,QueryManager,com.facebook.presto.execution.QueryManager,execution execution QueryManager,"Application Performance Manager,0.7"
78,expressions,DynamicFilters,DynamicFilters,com.facebook.presto.expressions.DynamicFilters.isDynamicFilter,expressions DynamicFilters DynamicFilters,"Natural Language Processing,0.61"
79,internal,verification,VerificationDataImpl,org.mockito.internal.verification.VerificationDataImpl,internal verification VerificationDataImpl,"Data Structure,0.7"
80,internal,verification,VerificationDataInOrder,org.mockito.internal.verification.api.VerificationDataInOrder,internal verification VerificationDataInOrder,"Data Structure,0.77"
81,internal,verification,VerificationDataInOrderImpl,org.mockito.internal.verification.api.VerificationDataInOrderImpl,internal verification VerificationDataInOrderImpl,"Data Structure,0.73"
82,invocation,invocation,Invocation,org.mockito.invocation.Invocation,invocation invocation Invocation,"Interpreter,0.4"
83,invocation,invocation,InvocationFactory,org.mockito.invocation.InvocationFactory,invocation invocation InvocationFactory,"Interpreter,0.42"
84,invocation,invocation,MockHandler,org.mockito.invocation.MockHandler,invocation invocation MockHandler,"Interpreter,0.49"
85,invocation,invocation,InvocationOnMock,org.mockito.invocation.InvocationOnMock,invocation invocation InvocationOnMock,"Interpreter,0.41"
86,jdbc,PrestoResultSet,DATE_FORMATTER,com.facebook.presto.jdbc.PrestoResultSet.DATE_FORMATTER,jdbc PrestoResultSet DATE_FORMATTER,"Database,0.46"
87,jdbc,PrestoResultSet,TIMESTAMP_FORMATTER,com.facebook.presto.jdbc.PrestoResultSet.TIMESTAMP_FORMATTER,jdbc PrestoResultSet TIMESTAMP_FORMATTER,"Parser,0.45"
88,jdbc,PrestoResultSet,TIME_FORMATTER,com.facebook.presto.jdbc.PrestoResultSet.TIME_FORMATTER,jdbc PrestoResultSet TIME_FORMATTER,"Database,0.43"
89,listeners,listeners,VerificationStartedEvent,org.mockito.listeners.VerificationStartedEvent,listeners listeners VerificationStartedEvent,"Event Handling,0.61"
90,listeners,listeners,VerificationStartedListener,org.mockito.listeners.VerificationStartedListener,listeners listeners VerificationStartedListener,"User Interface,0.45"
91,listeners,listeners,MockitoListener,org.mockito.listeners.MockitoListener,listeners listeners MockitoListener,"Input and Output,0.41"
92,memory,memory,NodeMemoryConfig,com.facebook.presto.memory.NodeMemoryConfig,memory memory NodeMemoryConfig,"User Interface,0.59"
93,metadata,metadata,SessionPropertyManager,com.facebook.presto.metadata.SessionPropertyManager,metadata metadata SessionPropertyManager,"Application Performance Manager,0.65"
94,metadata,MetadataManager,MetadataManager,com.facebook.presto.metadata.MetadataManager.createTestMetadataManager,metadata MetadataManager MetadataManager,"Database,0.65"
95,metadata,SessionFunctionHandle,SESSION_NAMESPACE,com.facebook.presto.metadata.SessionFunctionHandle.SESSION_NAMESPACE,metadata SessionFunctionHandle SESSION_NAMESPACE,"Data Structure,0.56"
96,mock,mock,SerializableMode,org.mockito.mock.SerializableMode,mock mock SerializableMode,"Test,0.5"
97,mock,mock,MockCreationSettings,org.mockito.mock.MockCreationSettings,mock mock MockCreationSettings,"Test,0.42"
98,plugin,memory,MISSING_DATA,com.facebook.presto.plugin.memory.MemoryErrorCode.MISSING_DATA,plugin memory MISSING_DATA,"Data Structure,0.72"
99,plugin,geospatial,BingTileUtils,com.facebook.presto.plugin.geospatial.BingTileUtils.tileToEnvelope,plugin geospatial BingTileUtils,"Database,0.44"
100,plugin,geospatial,BingTileUtils,com.facebook.presto.plugin.geospatial.BingTileUtils.tileXYToLatitudeLongitude,plugin geospatial BingTileUtils,"Database,0.44"
101,plugin,geospatial,BingTileCoordinatesFunction,com.facebook.presto.plugin.geospatial.BingTileFunctions.BingTileCoordinatesFunction,plugin geospatial BingTileCoordinatesFunction,"Data Structure,0.58"
102,plugin,geospatial,ConvexHullAggregation,com.facebook.presto.plugin.geospatial.aggregation.ConvexHullAggregation,plugin geospatial ConvexHullAggregation,"Data Structure,0.57"
103,plugins,plugins,MockMaker,org.mockito.plugins.MockMaker,plugins plugins MockMaker,"User Interface,0.5"
104,plugins,plugins,MockitoPlugins,org.mockito.plugins.MockitoPlugins,plugins plugins MockitoPlugins,"Setup,0.53"
105,plugins,plugins,AnnotationEngine,org.mockito.plugins.AnnotationEngine,plugins plugins AnnotationEngine,"User Interface,0.58"
106,quality,quality,MockitoHint,org.mockito.quality.MockitoHint,quality quality MockitoHint,"Software Development and IT Operations,0.59"
107,quality,quality,Strictness,org.mockito.quality.Strictness,quality quality Strictness,"Natural Language Processing,0.44"
108,raptor,metadata,SchemaDaoUtil,com.facebook.presto.raptor.metadata.SchemaDaoUtil.createTablesWithRetry,raptor metadata SchemaDaoUtil,"Parser,0.56"
109,raptor,metadata,DatabaseMetadataModule,com.facebook.presto.raptor.metadata.DatabaseMetadataModule,raptor metadata DatabaseMetadataModule,"Database,0.78"
110,raptor,metadata,ColumnInfo,com.facebook.presto.raptor.metadata.ColumnInfo,raptor metadata ColumnInfo,"Data Structure,0.6"
111,raptor,metadata,DeltaInfoPair,com.facebook.presto.raptor.metadata.DeltaInfoPair,raptor metadata DeltaInfoPair,"Big Data,0.58"
112,raptor,metadata,ShardDeleteDelta,com.facebook.presto.raptor.metadata.ShardDeleteDelta,raptor metadata ShardDeleteDelta,"Database,0.53"
113,raptor,metadata,ShardDelta,com.facebook.presto.raptor.metadata.ShardDelta,raptor metadata ShardDelta,"Data Structure,0.47"
114,raptor,metadata,Table,com.facebook.presto.raptor.metadata.Table,raptor metadata Table,"Data Structure,0.58"
115,raptor,metadata,ViewResult,com.facebook.presto.raptor.metadata.ViewResult,raptor metadata ViewResult,"Data Structure,0.66"
116,raptor,storage,StorageTypeConverter,com.facebook.presto.raptor.storage.StorageTypeConverter,raptor storage StorageTypeConverter,"Data Structure,0.6"
117,raptor,systemtables,ColumnRangesSystemTable,com.facebook.presto.raptor.systemtables.ColumnRangesSystemTable,raptor systemtables ColumnRangesSystemTable,"Data Structure,0.64"
118,raptor,RaptorTableProperties,TABLE_SUPPORTS_DELTA_DELETE,com.facebook.presto.raptor.RaptorTableProperties.TABLE_SUPPORTS_DELTA_DELETE,raptor RaptorTableProperties TABLE_SUPPORTS_DELTA_DELETE,"Data Structure,0.56"
119,raptor,RaptorTableProperties,TEMPORAL_COLUMN_PROPERTY,com.facebook.presto.raptor.RaptorTableProperties.TEMPORAL_COLUMN_PROPERTY,raptor RaptorTableProperties TEMPORAL_COLUMN_PROPERTY,"Data Structure,0.59"
120,raptor,RaptorTableProperties,RaptorTableProperties,com.facebook.presto.raptor.RaptorTableProperties.getBucketColumns,raptor RaptorTableProperties RaptorTableProperties,"Data Structure,0.43"
121,raptor,RaptorTableProperties,RaptorTableProperties,com.facebook.presto.raptor.RaptorTableProperties.getBucketCount,raptor RaptorTableProperties RaptorTableProperties,"Data Structure,0.43"
122,raptor,RaptorTableProperties,RaptorTableProperties,com.facebook.presto.raptor.RaptorTableProperties.getDistributionName,raptor RaptorTableProperties RaptorTableProperties,"Data Structure,0.43"
123,raptor,RaptorTableProperties,RaptorTableProperties,com.facebook.presto.raptor.RaptorTableProperties.getSortColumns,raptor RaptorTableProperties RaptorTableProperties,"Data Structure,0.43"
124,raptor,RaptorTableProperties,RaptorTableProperties,com.facebook.presto.raptor.RaptorTableProperties.getTemporalColumn,raptor RaptorTableProperties RaptorTableProperties,"Data Structure,0.43"
125,raptor,RaptorTableProperties,RaptorTableProperties,com.facebook.presto.raptor.RaptorTableProperties.isOrganized,raptor RaptorTableProperties RaptorTableProperties,"Data Structure,0.43"
126,raptor,RaptorTableProperties,RaptorTableProperties,com.facebook.presto.raptor.RaptorTableProperties.isTableSupportsDeltaDelete,raptor RaptorTableProperties RaptorTableProperties,"Data Structure,0.43"
127,raptor,RaptorErrorCode,RAPTOR_BACKUP_CORRUPTION,com.facebook.presto.raptor.RaptorErrorCode.RAPTOR_BACKUP_CORRUPTION,raptor RaptorErrorCode RAPTOR_BACKUP_CORRUPTION,"Setup,0.4"
128,raptor,metadata,TestDatabaseShardManager,com.facebook.presto.raptor.metadata.TestDatabaseShardManager.createShardManager,raptor metadata TestDatabaseShardManager,"Application Performance Manager,0.69"
129,raptor,storage,TestOrcStorageManager,com.facebook.presto.raptor.storage.TestOrcStorageManager.createOrcStorageManager,raptor storage TestOrcStorageManager,"Application Performance Manager,0.65"
130,raptor,metadata,MetadataConfig,com.facebook.presto.raptor.metadata.MetadataConfig,raptor metadata MetadataConfig,"Database,0.6"
131,rcfile,rcfile,RcFileCorruptionException,com.facebook.presto.rcfile.RcFileCorruptionException,rcfile rcfile RcFileCorruptionException,"Error Handling,0.66"
132,rcfile,rcfile,RcFileReader,com.facebook.presto.rcfile.RcFileReader,rcfile rcfile RcFileReader,"User Interface,0.54"
133,rcfile,RcFileWriteValidation,WriteChecksum,com.facebook.presto.rcfile.RcFileWriteValidation.WriteChecksum,rcfile RcFileWriteValidation WriteChecksum,"Parser,0.46"
134,rcfile,RcFileWriteValidation,WriteChecksumBuilder,com.facebook.presto.rcfile.RcFileWriteValidation.WriteChecksumBuilder,rcfile RcFileWriteValidation WriteChecksumBuilder,"Parser,0.48"
135,rcfile,RcFileDecoderUtils,RcFileDecoderUtils,com.facebook.presto.rcfile.RcFileDecoderUtils.findFirstSyncPosition,rcfile RcFileDecoderUtils RcFileDecoderUtils,"Parser,0.55"
136,rcfile,RcFileDecoderUtils,RcFileDecoderUtils,com.facebook.presto.rcfile.RcFileDecoderUtils.readVInt,rcfile RcFileDecoderUtils RcFileDecoderUtils,"Parser,0.55"
137,rcfile,RcFileWriteValidation,WriteChecksumBuilder,com.facebook.presto.rcfile.RcFileWriteValidation.WriteChecksumBuilder.createWriteChecksumBuilder,rcfile RcFileWriteValidation WriteChecksumBuilder,"Parser,0.48"
138,rcfile,RcFileCompressor,CompressedSliceOutput,com.facebook.presto.rcfile.RcFileCompressor.CompressedSliceOutput,rcfile RcFileCompressor CompressedSliceOutput,"Input and Output,0.74"
139,rcfile,RcFileWriteValidation,RcFileWriteValidationBuilder,com.facebook.presto.rcfile.RcFileWriteValidation.RcFileWriteValidationBuilder,rcfile RcFileWriteValidation RcFileWriteValidationBuilder,"Error Handling,0.61"
140,rcfile,PageSplitterUtil,PageSplitterUtil,com.facebook.presto.rcfile.PageSplitterUtil.splitPage,rcfile PageSplitterUtil PageSplitterUtil,"User Interface,0.49"
141,rcfile,RcFileDecoderUtils,RcFileDecoderUtils,com.facebook.presto.rcfile.RcFileDecoderUtils.writeLengthPrefixedString,rcfile RcFileDecoderUtils RcFileDecoderUtils,"Parser,0.55"
142,rcfile,RcFileDecoderUtils,RcFileDecoderUtils,com.facebook.presto.rcfile.RcFileDecoderUtils.writeVInt,rcfile RcFileDecoderUtils RcFileDecoderUtils,"Parser,0.55"
143,rcfile,RcFileReader,RcFileReader,com.facebook.presto.rcfile.RcFileReader.validateFile,rcfile RcFileReader RcFileReader,"User Interface,0.54"
144,resourceGroups,resourceGroups,FileResourceGroupConfigurationManagerFactory,com.facebook.presto.resourceGroups.FileResourceGroupConfigurationManagerFactory,resourceGroups resourceGroups FileResourceGroupConfigurationManagerFactory,"Application Performance Manager,0.74"
145,server,thrift,ThriftServerInfoClient,com.facebook.presto.server.thrift.ThriftServerInfoClient,server thrift ThriftServerInfoClient,"Database,0.57"
146,session,FileSessionPropertyManager,CODEC,com.facebook.presto.session.FileSessionPropertyManager.CODEC,session FileSessionPropertyManager CODEC,"Setup,0.46"
147,session,session,MockitoSessionBuilder,org.mockito.session.MockitoSessionBuilder,session session MockitoSessionBuilder,"Application Performance Manager,0.55"
148,session,session,MockitoSessionLogger,org.mockito.session.MockitoSessionLogger,session session MockitoSessionLogger,"Application Performance Manager,0.52"
149,spi,spi,ConnectorId,com.facebook.presto.spi.ConnectorId,spi spi ConnectorId,"Multi Thread,0.38"
150,spi,spi,QueryId,com.facebook.presto.spi.QueryId,spi spi QueryId,"Error Handling,0.39"
151,spi,function,SqlFunctionId,com.facebook.presto.spi.function.SqlFunctionId,spi function SqlFunctionId,"Input and Output,0.54"
152,spi,function,SqlInvokedFunction,com.facebook.presto.spi.function.SqlInvokedFunction,spi function SqlInvokedFunction,"Error Handling,0.56"
153,spi,security,Identity,com.facebook.presto.spi.security.Identity,spi security Identity,"Security,0.8"
154,spi,security,SelectedRole,com.facebook.presto.spi.security.SelectedRole,spi security SelectedRole,"Security,0.72"
155,spi,security,TokenAuthenticator,com.facebook.presto.spi.security.TokenAuthenticator,spi security TokenAuthenticator,"Security,0.66"
156,spi,session,ResourceEstimates,com.facebook.presto.spi.session.ResourceEstimates,spi session ResourceEstimates,"Data Structure,0.56"
157,spi,spi,PrestoException,com.facebook.presto.spi.PrestoException,spi spi PrestoException,"Parser,0.3"
158,spi,session,PropertyMetadata,com.facebook.presto.spi.session.PropertyMetadata,spi session PropertyMetadata,"Data Structure,0.57"
159,spi,StandardErrorCode,INVALID_SESSION_PROPERTY,com.facebook.presto.spi.StandardErrorCode.INVALID_SESSION_PROPERTY,spi StandardErrorCode INVALID_SESSION_PROPERTY,"Error Handling,0.53"
160,spi,session,PropertyMetadata,com.facebook.presto.spi.session.PropertyMetadata.booleanProperty,spi session PropertyMetadata,"Data Structure,0.57"
161,spi,session,PropertyMetadata,com.facebook.presto.spi.session.PropertyMetadata.dataSizeProperty,spi session PropertyMetadata,"Data Structure,0.57"
162,spi,session,PropertyMetadata,com.facebook.presto.spi.session.PropertyMetadata.doubleProperty,spi session PropertyMetadata,"Data Structure,0.57"
163,spi,session,PropertyMetadata,com.facebook.presto.spi.session.PropertyMetadata.integerProperty,spi session PropertyMetadata,"Data Structure,0.57"
164,spi,session,PropertyMetadata,com.facebook.presto.spi.session.PropertyMetadata.stringProperty,spi session PropertyMetadata,"Data Structure,0.57"
165,spi,StandardErrorCode,EXCEEDED_CPU_LIMIT,com.facebook.presto.spi.StandardErrorCode.EXCEEDED_CPU_LIMIT,spi StandardErrorCode EXCEEDED_CPU_LIMIT,"Error Handling,0.46"
166,spi,StandardErrorCode,EXCEEDED_SPILL_LIMIT,com.facebook.presto.spi.StandardErrorCode.EXCEEDED_SPILL_LIMIT,spi StandardErrorCode EXCEEDED_SPILL_LIMIT,"Error Handling,0.43"
167,spi,spi,ConnectorSession,com.facebook.presto.spi.ConnectorSession,spi spi ConnectorSession,"User Interface,0.38"
168,spi,security,AccessControlContext,com.facebook.presto.spi.security.AccessControlContext,spi security AccessControlContext,"Security,0.77"
169,spi,session,SystemSessionPropertyConfiguration,com.facebook.presto.spi.session.SessionPropertyConfigurationManager.SystemSessionPropertyConfiguration,spi session SystemSessionPropertyConfiguration,"Application Performance Manager,0.63"
170,spi,ConnectorId,ConnectorId,com.facebook.presto.spi.ConnectorId.createInformationSchemaConnectorId,spi ConnectorId ConnectorId,"Input and Output,0.43"
171,spi,ConnectorId,ConnectorId,com.facebook.presto.spi.ConnectorId.createSystemTablesConnectorId,spi ConnectorId ConnectorId,"Input and Output,0.43"
172,spi,StandardErrorCode,NOT_FOUND,com.facebook.presto.spi.StandardErrorCode.NOT_FOUND,spi StandardErrorCode NOT_FOUND,"Software Development and IT Operations,0.48"
173,spi,spi,PageIndexer,com.facebook.presto.spi.PageIndexer,spi spi PageIndexer,"User Interface,0.37"
174,spi,spi,PageIndexerFactory,com.facebook.presto.spi.PageIndexerFactory,spi spi PageIndexerFactory,"Big Data,0.42"
175,spi,spi,PageSorter,com.facebook.presto.spi.PageSorter,spi spi PageSorter,"Parser,0.34"
